"","Problem","10","9","8","7","6","5","4","3","2","1","0","Blank","Year"
"X6...245","A5","13","1","6","0","0","0","0","0","22","4","26","127",2015
"X7...246","A6","4","3","1","0","0","0","0","0","2","0","53","136",2015
"X8...247","B1","61","27","7","0","0","0","0","0","41","32","10","21",2015
"X9...248","B2","62","10","3","0","0","0","0","0","3","8","60","53",2015
"X10...249","B3","32","1","6","0","0","0","0","0","18","6","81","55",2015
"X11...250","B4","70","10","3","0","0","0","0","0","5","17","39","55",2015
"X12...251","B5","16","8","4","0","0","0","0","0","7","8","30","126",2015
"X13...252","B6","0","0","3","0","0","0","0","0","1","0","27","168",2015
"X2...253","A1","123","55","1","0","0","0","0","0","3","0","5","0",2016
"X3...254","A2","49","66","49","0","0","0","0","0","13","7","3","0",2016
"X4...255","A3","15","6","47","0","0","0","0","0","12","37","45","25",2016
"X5...256","A4","45","16","4","0","0","0","0","0","12","5","31","74",2016
"X6...257","A5","28","4","1","0","0","0","0","0","10","8","27","109",2016
"X7...258","A6","2","0","0","0","0","0","0","0","1","1","69","114",2016
"X8...259","B1","110","18","22","0","0","0","0","0","17","8","10","2",2016
"X9...260","B2","94","18","39","0","0","0","0","0","23","8","5","0",2016
"X10...261","B3","28","124","13","0","0","0","0","0","3","1","6","12",2016
"X11...262","B4","62","32","16","0","0","0","0","0","3","9","27","38",2016
"X12...263","B5","21","12","5","0","0","0","0","0","6","5","62","76",2016
"X13...264","B6","20","11","7","0","0","0","0","0","4","2","35","108",2016
"X2...265","A1","352","39","34","0","0","0","0","0","18","6","50","3",2017
"X3...266","A2","230","9","6","0","0","0","0","0","12","5","159","81",2017
"X4...267","A3","111","21","12","0","0","0","0","0","45","22","72","219",2017
"X5...268","A4","87","1","40","0","0","0","0","0","24","0","152","198",2017
"X6...269","A5","10","0","4","2","0","0","0","0","0","1","163","322",2017
"X7...270","A6","2","0","3","0","0","0","0","0","7","4","40","446",2017
"X8...271","B1","267","116","54","1","0","0","0","0","37","13","3","11",2017
"X9...272","B2","233","62","32","0","0","0","0","0","84","21","49","21",2017
"X10...273","B3","225","9","4","0","0","0","0","0","41","8","75","140",2017
"X11...274","B4","9","4","4","0","0","0","0","0","1","3","132","349",2017
"X12...275","B5","32","17","5","0","0","0","0","0","13","38","72","325",2017
"X13...276","B6","3","1","2","0","0","0","0","0","2","2","94","398",2017
"X2...277","A1","318","36","56","6","0","4","0","13","25","7","11","1",2018
"X3...278","A2","103","12","43","0","18","0","0","0","34","55","143","69",2018
"X4...279","A3","104","69","35","7","0","1","0","0","57","16","129","59",2018
"X5...280","A4","25","8","6","1","0","0","0","0","2","9","191","235",2018
"X6...281","A5","10","5","3","0","0","0","0","0","12","120","136","191",2018
"X7...282","A6","31","7","2","0","0","0","0","0","2","11","176","248",2018
"X8...283","B1","269","14","52","15","0","0","0","37","70","2","12","6",2018
"X9...284","B2","261","34","10","0","0","0","0","0","30","8","81","52",2018
"X10...285","B3","228","24","30","3","0","2","0","0","100","48","16","26",2018
"X11...286","B4","49","59","34","9","4","0","1","0","20","11","138","152",2018
"X12...287","B5","20","2","0","0","0","0","0","0","4","2","166","283",2018
"X13...288","B6","43","0","0","0","0","0","0","0","2","6","158","268",2018
"X2...289","A1","207","38","84","17","0","0","32","9","4","4","9","10",2019
"X3...290","A2","290","19","10","0","4","0","0","0","4","5","42","40",2019
"X4...291","A3","128","6","1","0","0","0","1","0","58","12","87","121",2019
"X5...292","A4","36","5","2","0","0","0","0","0","2","4","109","256",2019
"X6...293","A5","72","21","4","4","0","5","4","2","7","33","95","167",2019
"X7...294","A6","8","7","2","0","1","0","0","1","2","8","80","305",2019
"X8...295","B1","189","106","21","14","0","0","0","2","54","8","14","6",2019
"X9...296","B2","92","20","4","0","0","0","4","1","1","2","135","155",2019
"X10...297","B3","41","2","1","2","0","0","0","0","7","4","162","195",2019
"X11...298","B4","25","8","3","2","0","0","15","11","10","9","52","279",2019
"X12...299","B5","138","13","7","0","0","0","1","0","9","10","81","155",2019
"X13...300","B6","59","0","0","0","0","0","0","0","93","7","32","220",2019
"X2...301","A1","369","14","36","4","8","0","93","0","2","1","6","2",2021
"X3...302","A2","239","14","36","14","0","0","0","31","41","44","59","57",2021
"X4...303","A3","66","2","4","2","0","0","0","39","49","52","78","243",2021
"X5...304","A4","7","0","2","2","0","0","0","0","0","1","115","408",2021
"X6...305","A5","130","20","5","3","0","0","0","6","35","34","114","188",2021
"X7...306","A6","4","1","1","0","0","0","0","0","0","1","150","378",2021
"X8...307","B1","204","18","47","16","0","0","0","0","23","32","115","80",2021
"X9...308","B2","114","12","1","0","0","0","0","1","11","102","124","170",2021
"X10...309","B3","28","10","0","0","0","0","0","0","2","3","80","412",2021
"X11...310","B4","27","40","12","0","0","0","0","0","34","35","62","325",2021
"X12...311","B5","58","4","1","2","0","0","0","1","0","4","94","424",2021
"X13...312","B6","8","1","2","0","0","0","0","0","0","16","52","456",2021
"X2...313","A1","142","91","54","12","4","0","0","1","49","44","78","71",2022
"X3...314","A2","114","38","23","27","23","6","8","5","8","7","124","163",2022
"X4...315","A3","204","25","32","0","0","0","0","0","20","6","27","232",2022
"X5...316","A4","29","101","3","4","2","7","5","1","12","73","60","249",2022
"X6...317","A5","6","0","2","1","0","0","0","0","20","69","112","336",2022
"X7...318","A6","1","1","1","0","0","0","0","0","4","2","41","496",2022
"X8...319","B1","288","83","41","14","0","0","0","13","13","12","42","40",2022
"X9...320","B2","107","83","57","38","25","19","19","20","21","32","38","87",2022
"X10...321","B3","103","28","4","0","0","0","0","0","50","50","90","221",2022
"X11...322","B4","36","30","15","0","0","0","0","0","6","55","96","308",2022
"X12...323","B5","16","6","1","0","1","1","33","16","1","10","100","361",2022
"X13...324","B6","1","0","0","0","0","0","0","0","3","6","114","422",2022
"X2...325","A1","426","68","10","0","0","0","0","2","2","1","7","0",2023
"X3...326","A2","368","27","81","5","3","0","0","10","2","0","6","14",2023
"X4...327","A3","7","13","4","1","0","0","17","2","15","230","105","122",2023
"X5...328","A4","31","18","34","20","0","0","0","0","68","23","45","277",2023
"X6...329","A5","10","3","13","0","0","0","0","0","36","9","52","393",2023
"X7...330","A6","16","0","1","0","0","0","0","0","26","62","73","338",2023
"X8...331","B1","373","42","20","3","0","0","0","44","17","4","9","4",2023
"X9...332","B2","239","19","5","0","0","0","0","1","8","41","118","85",2023
"X10...333","B3","80","12","23","0","0","0","0","33","51","14","92","211",2023
"X11...334","B4","8","3","7","6","0","0","11","15","20","36","109","301",2023
"X12...335","B5","21","10","4","0","0","0","0","0","18","72","77","314",2023
"X13...336","B6","1","0","0","0","0","0","0","0","0","1","27","487",2023
