Problem,10-score,9-score,8-score,7-score,6-score,5-score,4-score,3-score,2-score,1-score,0-score,Blank,Participants,Total_participants,>10,>9,>8,>7,>6,>5,>4,>3,>2,>1,>0,Median
A3-2000,64,20,20,0,0,0,0,0,23,9,27,32,163,195,0.39,0.52,0.64,0.64,0.64,0.64,0.64,0.64,0.78,0.83,1.00,9
A4-2000,10,2,2,0,0,0,0,0,6,2,43,130,65,195,0.15,0.18,0.22,0.22,0.22,0.22,0.22,0.22,0.31,0.34,1.00,0
A5-2000,30,11,4,0,0,0,0,0,2,0,19,129,66,195,0.45,0.62,0.68,0.68,0.68,0.68,0.68,0.68,0.71,0.71,1.00,9
A6-2000,1,2,2,0,0,0,0,0,3,19,57,111,84,195,0.01,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.10,0.32,1.00,0
B1-2000,126,14,4,0,0,0,0,0,8,14,14,15,180,195,0.70,0.78,0.80,0.80,0.80,0.80,0.80,0.80,0.84,0.92,1.00,10
B2-2000,114,7,2,0,0,0,0,0,2,6,35,29,166,195,0.69,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.75,0.79,1.00,10
B3-2000,5,3,3,1,0,0,0,16,9,26,3,129,66,195,0.08,0.12,0.17,0.18,0.18,0.18,0.18,0.42,0.56,0.95,1.00,2
B4-2000,14,5,1,0,0,0,0,0,3,6,106,60,135,195,0.10,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.21,1.00,0
B5-2000,29,16,14,0,0,0,0,0,13,1,11,111,84,195,0.35,0.54,0.70,0.70,0.70,0.70,0.70,0.70,0.86,0.87,1.00,9
B6-2000,8,1,0,0,0,0,0,0,0,0,41,145,50,195,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0
A1-2001,189,1,0,0,0,0,0,0,0,0,8,2,198,200,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.00,10
A2-2001,163,6,5,0,0,0,0,0,1,1,14,10,190,200,0.86,0.89,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.93,1.00,10
A3-2001,97,33,5,0,0,0,0,0,24,22,7,12,188,200,0.52,0.69,0.72,0.72,0.72,0.72,0.72,0.72,0.85,0.96,1.00,10
A4-2001,29,7,8,0,0,0,0,0,10,10,47,89,111,200,0.26,0.32,0.40,0.40,0.40,0.40,0.40,0.40,0.49,0.58,1.00,1
A5-2001,12,9,10,0,0,0,0,0,9,41,33,86,114,200,0.11,0.18,0.27,0.27,0.27,0.27,0.27,0.27,0.35,0.71,1.00,1
A6-2001,1,0,0,0,0,0,0,0,0,1,57,141,59,200,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,1.00,0
B1-2001,136,25,7,0,0,0,0,0,3,3,20,6,194,200,0.70,0.83,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.90,1.00,10
B2-2001,38,1,2,0,0,0,0,0,2,7,52,98,102,200,0.37,0.38,0.40,0.40,0.40,0.40,0.40,0.40,0.42,0.49,1.00,0
B3-2001,120,6,5,0,0,0,0,0,12,17,5,35,165,200,0.73,0.76,0.79,0.79,0.79,0.79,0.79,0.79,0.87,0.97,1.00,10
B4-2001,43,21,28,0,0,0,0,0,3,0,34,71,129,200,0.33,0.50,0.71,0.71,0.71,0.71,0.71,0.71,0.74,0.74,1.00,8
B5-2001,2,0,0,0,0,0,0,0,3,3,82,110,90,200,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.09,1.00,0
B6-2001,9,5,2,0,0,0,0,0,2,0,40,142,58,200,0.16,0.24,0.28,0.28,0.28,0.28,0.28,0.28,0.31,0.31,1.00,0
A1-2002,115,9,41,0,0,0,0,0,16,2,20,7,203,210,0.57,0.61,0.81,0.81,0.81,0.81,0.81,0.81,0.89,0.90,1.00,10
A2-2002,75,106,14,0,0,0,0,0,3,1,1,10,200,210,0.38,0.91,0.98,0.98,0.98,0.98,0.98,0.98,0.99,1.00,1.00,9
A3-2002,63,32,8,0,0,0,0,0,7,7,26,67,143,210,0.44,0.66,0.72,0.72,0.72,0.72,0.72,0.72,0.77,0.82,1.00,9
A4-2002,61,30,19,0,0,0,0,0,24,9,31,36,174,210,0.35,0.52,0.63,0.63,0.63,0.63,0.63,0.63,0.77,0.82,1.00,9
A5-2002,21,32,29,0,0,0,0,0,24,3,27,74,136,210,0.15,0.39,0.60,0.60,0.60,0.60,0.60,0.60,0.78,0.80,1.00,8
A6-2002,3,4,3,0,0,0,0,0,5,5,58,132,78,210,0.04,0.09,0.13,0.13,0.13,0.13,0.13,0.13,0.19,0.26,1.00,0
B1-2002,162,17,2,0,0,0,0,0,2,2,15,10,200,210,0.81,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,1.00,10
B2-2002,107,48,18,0,0,0,0,0,18,1,8,10,200,210,0.54,0.78,0.87,0.87,0.87,0.87,0.87,0.87,0.96,0.96,1.00,10
B3-2002,30,1,0,0,0,0,0,0,30,2,78,69,141,210,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.43,0.45,1.00,0
B4-2002,84,13,11,0,0,0,0,0,4,6,50,42,168,210,0.50,0.58,0.64,0.64,0.64,0.64,0.64,0.64,0.67,0.70,1.00,10
B5-2002,28,0,5,0,0,0,0,0,2,0,27,148,62,210,0.45,0.45,0.53,0.53,0.53,0.53,0.53,0.53,0.56,0.56,1.00,8
B6-2002,7,6,4,0,0,0,0,0,3,3,28,159,51,210,0.14,0.25,0.33,0.33,0.33,0.33,0.33,0.33,0.39,0.45,1.00,0
A1-2003,149,3,29,0,0,0,0,0,10,1,5,4,197,201,0.76,0.77,0.92,0.92,0.92,0.92,0.92,0.92,0.97,0.97,1.00,10
A2-2003,55,25,8,0,0,0,0,0,15,1,35,62,139,201,0.40,0.58,0.63,0.63,0.63,0.63,0.63,0.63,0.74,0.75,1.00,9
A3-2003,10,1,7,0,0,0,0,0,2,4,100,77,124,201,0.08,0.09,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.19,1.00,0
A4-2003,15,4,5,0,0,0,0,0,71,18,27,61,140,201,0.11,0.14,0.17,0.17,0.17,0.17,0.17,0.17,0.68,0.81,1.00,2
A5-2003,27,0,1,0,0,0,0,0,6,2,33,132,69,201,0.39,0.39,0.41,0.41,0.41,0.41,0.41,0.41,0.49,0.52,1.00,1
A6-2003,18,6,4,0,0,0,0,0,7,4,45,117,84,201,0.21,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.42,0.46,1.00,0
B1-2003,62,6,4,0,0,0,0,0,14,6,83,26,175,201,0.35,0.39,0.41,0.41,0.41,0.41,0.41,0.41,0.49,0.53,1.00,1
B2-2003,119,13,4,0,0,0,0,0,30,6,12,17,184,201,0.65,0.72,0.74,0.74,0.74,0.74,0.74,0.74,0.90,0.93,1.00,10
