"","Problem Number","P1","P2","P3","P4","P5","P6","Problem_year"
"177","Num( P# = 0 )",176,147,437,51,210,473,2007
"178","Num( P# = 1 )",13,181,42,30,155,40,2007
"179","Num( P# = 2 )",8,26,23,9,38,2,2007
"180","Num( P# = 3 )",105,15,11,9,10,0,2007
"181","Num( P# = 4 )",18,5,3,3,3,0,2007
"182","Num( P# = 5 )",18,1,1,4,4,0,2007
"183","Num( P# = 6 )",21,8,1,51,6,0,2007
"184","Num( P# = 7 )",161,137,2,363,94,5,2007
"185","Num( P# = 0 )",59,110,438,69,295,482,2008
"186","Num( P# = 1 )",74,209,27,80,58,31,2008
"187","Num( P# = 2 )",17,24,8,0,33,9,2008
"188","Num( P# = 3 )",5,3,8,4,11,0,2008
"189","Num( P# = 4 )",8,35,3,128,1,0,2008
"190","Num( P# = 5 )",44,53,1,0,4,0,2008
"191","Num( P# = 6 )",7,7,4,27,1,1,2008
"192","Num( P# = 7 )",321,94,46,227,132,12,2008
"193","Num( P# = 0 )",83,101,357,188,270,540,2009
"194","Num( P# = 1 )",56,106,127,79,42,2,2009
"195","Num( P# = 2 )",28,43,16,37,50,1,2009
"196","Num( P# = 3 )",20,51,5,23,33,10,2009
"197","Num( P# = 4 )",17,16,2,17,6,6,2009
"198","Num( P# = 5 )",16,15,5,69,4,2,2009
"199","Num( P# = 6 )",21,19,2,52,7,1,2009
"200","Num( P# = 7 )",324,214,51,100,153,3,2009
"201","Num( P# = 0 )",39,223,428,84,352,470,2010
"202","Num( P# = 1 )",17,93,48,2,85,14,2010
"203","Num( P# = 2 )",27,23,10,10,26,4,2010
"204","Num( P# = 3 )",16,8,4,47,3,3,2010
"205","Num( P# = 4 )",34,2,4,2,0,0,2010
"206","Num( P# = 5 )",35,4,4,4,2,6,2010
"207","Num( P# = 6 )",54,2,2,2,11,4,2010
"208","Num( P# = 7 )",294,161,16,365,37,15,2010
"209","Num( P# = 0 )",29,390,393,93,106,443,2011
"210","Num( P# = 1 )",17,124,57,120,92,102,2011
"211","Num( P# = 2 )",63,14,34,31,127,7,2011
"212","Num( P# = 3 )",52,2,13,16,20,2,2011
"213","Num( P# = 4 )",18,4,7,8,20,0,2011
"214","Num( P# = 5 )",17,2,3,8,9,3,2011
"215","Num( P# = 6 )",14,5,5,20,19,0,2011
"216","Num( P# = 7 )",353,22,51,267,170,6,2011
"217","Num( P# = 0 )",41,263,480,53,348,473,2012
"218","Num( P# = 1 )",37,83,11,65,17,39,2012
"219","Num( P# = 2 )",15,8,4,95,29,12,2012
"220","Num( P# = 3 )",24,5,31,74,45,3,2012
"221","Num( P# = 4 )",16,8,7,47,15,9,2012
"222","Num( P# = 5 )",11,2,6,26,4,0,2012
"223","Num( P# = 6 )",2,7,0,44,3,1,2012
"224","Num( P# = 7 )",401,171,8,143,86,10,2012
"225","Num( P# = 0 )",118,229,438,82,235,481,2013
"226","Num( P# = 1 )",96,32,10,16,84,15,2013
"227","Num( P# = 2 )",9,65,15,14,33,6,2013
"228","Num( P# = 3 )",6,33,16,14,11,6,2013
"229","Num( P# = 4 )",14,22,0,2,0,2,2013
"230","Num( P# = 5 )",3,12,3,5,10,6,2013
"231","Num( P# = 6 )",5,16,4,9,19,4,2013
"232","Num( P# = 7 )",276,118,41,385,135,7,2013
"233","Num( P# = 0 )",75,240,479,24,301,514,2014
"234","Num( P# = 1 )",23,32,43,103,60,7,2014
"235","Num( P# = 2 )",14,25,1,28,83,7,2014
"236","Num( P# = 3 )",22,17,2,16,10,11,2014
"237","Num( P# = 4 )",15,14,3,5,8,0,2014
"238","Num( P# = 5 )",18,39,0,3,3,5,2014
"239","Num( P# = 6 )",23,71,4,3,11,1,2014
"240","Num( P# = 7 )",370,122,28,378,84,15,2014
"241","Num( P# = 0 )",93,256,408,91,153,521,2015
"242","Num( P# = 1 )",89,151,122,36,255,11,2015
"243","Num( P# = 2 )",5,77,12,61,34,15,2015
"244","Num( P# = 3 )",21,27,1,18,90,6,2015
"245","Num( P# = 4 )",72,8,3,11,8,3,2015
"246","Num( P# = 5 )",12,13,0,1,4,3,2015
"247","Num( P# = 6 )",20,14,1,8,3,7,2015
"248","Num( P# = 7 )",265,31,30,351,30,11,2015
"249","Num( P# = 0 )",52,277,548,132,353,474,2016
"250","Num( P# = 1 )",63,65,25,22,36,31,2016
"251","Num( P# = 2 )",32,99,14,26,55,9,2016
"252","Num( P# = 3 )",9,30,0,10,21,39,2016
"253","Num( P# = 4 )",6,7,0,26,50,4,2016
"254","Num( P# = 5 )",35,8,2,15,2,4,2016
"255","Num( P# = 6 )",14,9,3,24,4,4,2016
"256","Num( P# = 7 )",391,107,10,347,81,37,2016
"257","Num( P# = 0 )",40,183,608,47,451,557,2017
"258","Num( P# = 1 )",16,110,3,93,46,24,2017
"259","Num( P# = 2 )",17,26,0,42,47,9,2017
"260","Num( P# = 3 )",5,138,0,14,9,5,2017
"261","Num( P# = 4 )",12,79,1,15,0,4,2017
"262","Num( P# = 5 )",54,10,1,4,2,2,2017
"263","Num( P# = 6 )",25,8,0,6,1,0,2017
"264","Num( P# = 7 )",446,61,2,394,59,14,2017
"265","Num( P# = 0 )",96,158,548,148,175,419,2018
"266","Num( P# = 1 )",54,85,7,13,184,108,2018
"267","Num( P# = 2 )",24,87,9,106,31,26,2018
"268","Num( P# = 3 )",15,66,14,18,7,11,2018
"269","Num( P# = 4 )",10,18,4,18,6,5,2018
"270","Num( P# = 5 )",7,16,1,15,8,2,2018
"271","Num( P# = 6 )",7,7,0,5,11,5,2018
"272","Num( P# = 7 )",381,157,11,271,172,18,2018
"273","Num( P# = 0 )",73,251,520,211,156,558,2019
